"","Gene ID","Path ID","Pathway"
"1","sot.102595874","path:sot00941","Flavonoid biosynthesis - Solanum tuberosum (potato)"
"2","sot.102595874.1","path:sot01100","Metabolic pathways - Solanum tuberosum (potato)"
"3","sot.102595874.2","path:sot01110","Biosynthesis of secondary metabolites - Solanum tuberosum (potato)"
"4","sot.102595874.3","path:sot04712","Circadian rhythm - plant - Solanum tuberosum (potato)"
"5","sot.102584093","path:sot03030","DNA replication - Solanum tuberosum (potato)"
"6","sot.102584093.1","path:sot03420","Nucleotide excision repair - Solanum tuberosum (potato)"
"7","sot.102584093.2","path:sot03430","Mismatch repair - Solanum tuberosum (potato)"
"8","sot.102584093.3","path:sot03440","Homologous recombination - Solanum tuberosum (potato)"
"9","sot.102598447","path:sot00940","Phenylpropanoid biosynthesis - Solanum tuberosum (potato)"
"10","sot.102598447.1","path:sot00941","Flavonoid biosynthesis - Solanum tuberosum (potato)"
"11","sot.102598447.2","path:sot00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis - Solanum tuberosum (potato)"
"12","sot.102598447.3","path:sot01100","Metabolic pathways - Solanum tuberosum (potato)"
"13","sot.102598447.4","path:sot01110","Biosynthesis of secondary metabolites - Solanum tuberosum (potato)"
"14","sot.102591186","path:sot04075","Plant hormone signal transduction - Solanum tuberosum (potato)"
